id_erp;%_canc_jan;entregue_jan;nro_canc_jan;%_canc_fev;entregue_fev;nro_canc_fev;%_canc_mar;entregue_mar;nro_canc_mar;perc_delta;diferenca_pedidos
986395;24,32%;28;9;60,00%;6;9;;;;-1;-9
558384;7,50%;4307;349;7,70%;3965;331;12,63%;3513;508;64%;177
915324;17,31%;86;18;16,67%;70;14;4,44%;63;3;-73%;-11
694828;11,43%;248;32;10,97%;211;26;12,99%;198;30;18%;4
428548;15,21%;602;108;20,60%;586;152;26,10%;497;176;27%;24
667409;26,32%;56;20;25,00%;27;9;13,79%;37;6;-45%;-3
885627;13,86%;845;136;17,56%;798;170;19,85%;942;233;13%;63
791725;38,89%;11;7;14,29%;18;3;15,00%;25;4;5%;1
531825;29,31%;41;17;34,48%;38;20;63,16%;31;53;83%;33
918234;6,52%;43;3;8,11%;34;3;5,71%;49;3;-30%;0
107568;14,33%;777;130;18,38%;715;161;21,87%;754;211;19%;50
897594;45,00%;11;9;16,67%;25;5;29,41%;18;7;76%;2
440246;9,43%;144;15;12,21%;187;26;8,63%;187;18;-29%;-8
473041;17,86%;23;5;26,67%;11;4;12,50%;31;4;-53%;0
470320;50,00%;9;9;60,00%;6;9;60,00%;3;4;0%;-5
522146;13,79%;25;4;10,34%;26;3;10,00%;13;1;-3%;-2
792785;28,95%;81;33;21,33%;166;45;41,51%;92;65;95%;20
544163;0,00%;123;0;2,38%;123;3;3,03%;142;4;27%;1
782575;3,13%;837;27;4,58%;854;41;8,54%;759;71;86%;30
283001;4,12%;605;26;5,25%;614;34;8,54%;664;62;63%;28
771468;4,26%;45;2;0,00%;91;0;0,00%;61;0;0,00%;0
990404;40,30%;80;54;29,09%;78;32;32,79%;61;30;13%;-2
508353;17,05%;613;126;24,22%;507;162;23,72%;527;164;-2%;2
562366;0,25%;395;1;1,69%;232;4;0,67%;218;1;-60%;-3
554416;12,38%;375;53;13,78%;363;58;14,17%;456;75;3%;17
578709;10,34%;52;6;15,52%;49;9;26,67%;49;18;72%;9
439557;19,66%;188;46;21,74%;180;50;21,29%;180;49;-2%;-1
729212;7,14%;13;1;0,00%;3;0;11,76%;22;3;100,00%;3
719701;17,31%;43;9;22,92%;37;11;17,65%;41;9;-23%;-2
525271;9,30%;39;4;16,33%;41;8;1,79%;81;1;-89%;-7
614503;23,08%;60;18;13,58%;70;11;14,52%;78;13;7%;2
907561;14,36%;1294;217;13,54%;1149;180;18,54%;1154;263;37%;83
461788;22,22%;21;6;30,77%;18;8;17,39%;28;6;-43%;-2
227175;5,40%;1245;71;6,16%;1325;87;8,18%;1690;151;33%;64
323987;9,49%;582;61;7,03%;648;49;12,24%;497;69;74%;20
307646;20,34%;47;12;23,40%;36;11;22,58%;35;10;-4%;-1
128148;100,00%;0;1;0,00%;;0;0,00%;0;0;0,00%;0
141027;9,29%;127;13;6,90%;108;8;10,47%;114;13;52%;5
635928;10,46%;274;32;14,29%;456;76;34,56%;366;193;141,95%;117
188101;2,74%;1632;46;3,45%;1230;44;7,67%;977;81;122%;37
212397;16,84%;79;16;20,65%;73;19;21,57%;59;16;4%;-3
839263;2,86%;374;11;5,75%;295;18;15,49%;266;49;169,41%;31
931461;7,29%;4.488,00;353;7,50%;3821;310;13,69%;3816;605;82%;295
226005;76,67%;7;23;100,00%;0;2;100,00%;0;1;0%;-1
517274;6,29%;2.415,00;162;6,62%;1.396,00;99;10,98%;1436;177;66%;78
909875;0,00%;9;0;28,57%;10;4;47,06%;13;12;65%;8
865529;37,50%;5;3;0,00%;3;0;0,00%;6;0;0,00%;0
414938;18,18%;18;4;0,00%;;0;0,00%;0;0;0,00%;0
193183;4,17%;23;1;0,00%;7;0;25,00%;4;1;100,00%;1
66390;0,00%;3;0;8,33%;11;1;0,00%;12;0;-100%;-1
174831;15,38%;22;4;18,52%;22;5;26,09%;25;9;41%;4
707724;14,01%;135;22;25,19%;98;33;34,78%;89;47;38%;14
639302;20,00%;4;1;66,67%;3;6;55,56%;6;7;-17%;1
680816;3,13%;31;1;0,00%;37;0;19,23%;31;7;100,00%;7
680816;6,00%;47;3;7,41%;50;4;2,44%;59;1;-67%;-3
618762;12,68%;179;26;9,31%;185;19;14,38%;202;34;54%;15
294918;72,00%;7;18;57,14%;9;12;70,59%;7;18;24%;6
784817;5,00%;19;1;13,64%;19;3;16,67%;15;3;22%;0
820874;66,67%;1;2;0,00%;;0;0,00%;0;0;0,00%;0
420633;60,00%;2;3;100,00%;0;3;100,00%;0;1;0%;-2
138986;5,04%;3313;176;5,30%;3020;169;5,53%;3302;193;4%;24
340734;5,06%;150;8;1,34%;147;2;6,94%;198;15;417,36%;13
79640;13,64%;114;18;14,56%;88;15;30,77%;80;35;111%;20
913072;8,72%;178;17;16,76%;144;29;16,55%;171;34;-1%;5
59299;18,13%;2799;620;20,99%;2485;660;16,64%;2774;554;-21%;-106
711986;6,75%;221;16;2,79%;279;8;1,30%;449;6;-53%;-2
440652;8,66%;253;24;7,47%;223;18;7,18%;267;21;-4%;3
902653;;;;42,31%;15;11;45,45%;9;7;7%;-4